action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,curr_lr,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
4.504664421081543,-4.451944351196289,-1.3393949270248413,0.8069066405296326,-1.3721224069595337,-3.135051727294922,0.2376078963279724,0.0,0.05,23.84501075744629,53.93,278.50870682,2479,2.047076940536499,0.005698110442608595,-0.23283445835113525,0.5234596133232117,0.05,9,81920,29.037738775019534,81920,1.4207066297531128,0.6240342855453491,0.9283096790313721,3.350970506668091,1.066865086555481,-1.4206801652908325,1.6106464862823486
4.383766174316406,-4.447940826416016,-1.4457224607467651,0.2204456776380539,-1.416121482849121,-3.202876567840576,0.14175982773303986,0.0,0.05,23.469240188598633,78.31,402.29835704,2667,1.6901123523712158,0.006171764340251684,-0.1179196685552597,0.24233214557170868,0.05,19,163840,59.87716174998786,163840,1.5081286430358887,0.6608260273933411,0.7927104234695435,3.1297175884246826,0.8847566246986389,-1.390594720840454,1.5265488624572754
4.625983238220215,-4.569345951080322,-1.4624552726745605,-0.389793336391449,-1.462443232536316,-2.530796527862549,0.07093749195337296,0.0,0.05,23.244461059570312,85.42,438.9532939400001,2443,1.626001000404358,0.006511768326163292,-0.09839265793561935,0.128818079829216,0.05,29,245760,91.37698550499044,245760,1.4393821954727173,0.5916244387626648,0.5653183460235596,2.593355894088745,0.6838659048080444,-1.4395134449005127,1.232441782951355
4.225895404815674,-4.092195510864258,-1.4948928356170654,-0.3654741048812866,-1.5104416608810425,-2.4103167057037354,0.07856485247612,0.0,0.05,22.884090423583984,93.25,482.80355738000003,2410,1.1821467876434326,0.007886270061135292,-0.018627170473337173,0.09766209125518799,0.05,39,327680,125.36739158298587,327680,1.7036027908325195,0.6267277002334595,0.6126319766044617,2.562730073928833,0.7125903367996216,-1.4799854755401611,1.3107446432113647
4.782382965087891,-4.071924209594727,-1.5182729959487915,-0.17655327916145325,-1.5225346088409424,-2.775454044342041,0.06360401213169098,0.0,0.05,22.48155975341797,101.11,512.64849529,2642,1.2119746208190918,0.008981052786111832,0.015662692487239838,0.0704883337020874,0.05,49,409600,156.91973285499262,409600,1.6496554613113403,0.6007382869720459,0.49662744998931885,2.4963629245758057,0.5727133750915527,-1.5020771026611328,1.2461410760879517
4.263870716094971,-3.767771005630493,-1.5013408660888672,-0.3228148818016052,-1.5252238512039185,-2.4896018505096436,0.056566327810287476,0.0,0.05,22.141294479370117,104.99,537.27895777,2653,1.4456329345703125,0.009676611050963402,-0.013827845454216003,0.06854820251464844,0.05,59,491520,187.65308525500586,491520,1.6500678062438965,0.5451276302337646,0.48582708835601807,2.371760845184326,0.57146817445755,-1.5204209089279175,1.237723469734192
4.12551736831665,-4.138240814208984,-1.5683940649032593,-0.5096127390861511,-1.5658775568008423,-2.8335227966308594,0.052962400019168854,0.0,0.05,21.81972312927246,109.11,552.10764423,2668,1.543214201927185,0.009741079062223434,-0.08779147267341614,0.05730076879262924,0.05,69,573440,219.58884821197717,573440,1.585862159729004,0.6010822057723999,0.468049019575119,2.6033153533935547,0.4458055794239044,-1.5285148620605469,1.381250023841858
4.584711074829102,-3.719777822494507,-1.56101655960083,-0.3632080554962158,-1.569780945777893,-2.5581345558166504,0.06960263848304749,0.0,0.05,21.496063232421875,118.02,606.0827606600001,2672,1.5653104782104492,0.007274963892996311,-0.014375447295606136,0.06918008625507355,0.05,79,655360,250.39405160897877,655360,1.5381320714950562,0.6284262537956238,0.6442084908485413,2.820685863494873,0.6914194226264954,-1.5255781412124634,1.4948596954345703
4.1305060386657715,-4.460483551025391,-1.4837493896484375,0.019244635477662086,-1.5147000551223755,-2.3553335666656494,0.05499600991606712,0.0,0.05,21.222890853881836,123.85,631.29820081,2660,1.4137322902679443,0.009164241142570972,-0.003924870863556862,0.05274638161063194,0.05,89,737280,281.08214270102326,737280,1.6121329069137573,0.6225126385688782,0.4263016879558563,2.2024292945861816,0.48155730962753296,-1.536598801612854,1.142273187637329
4.364603042602539,-4.270011901855469,-1.4901291131973267,-0.38261815905570984,-1.5173496007919312,-2.6453628540039062,0.0625874474644661,0.0,0.05,20.94413185119629,125.12,632.0422012500001,2630,0.9605036377906799,0.017157237976789474,-0.018610794097185135,0.047537580132484436,0.05,99,819200,313.40736121701775,819200,1.7885814905166626,0.3242001235485077,0.4852226674556732,2.220958709716797,0.6323131322860718,-1.5528115034103394,1.1840392351150513
4.462646484375,-4.234003067016602,-1.4906721115112305,0.34356197714805603,-1.5157235860824585,-2.8633134365081787,0.1030050665140152,0.0,0.05,20.637142181396484,159.89,811.4844643299999,2620,1.1253466606140137,0.018694400787353516,-0.019375432282686234,0.06574106216430664,0.05,109,901120,344.51143467397196,901120,1.7938530445098877,0.37651583552360535,0.8902832269668579,2.833146810531616,1.1024420261383057,-1.5443592071533203,1.696272373199463
4.079128742218018,-3.790421724319458,-1.4875552654266357,0.2725635766983032,-1.4945613145828247,-3.1797916889190674,0.12963178753852844,0.0,0.03333333333333333,20.430068969726562,185.58,960.9557826800001,2646,0.9129597544670105,0.014476423151791096,-0.010904934257268906,0.06932971626520157,0.03333333333333333,119,983040,375.637607940007,983040,2.2660775184631348,0.3197588324546814,1.1331390142440796,3.133228063583374,1.5036221742630005,-1.5058754682540894,1.8071627616882324
4.5878729820251465,-4.087055206298828,-1.398964285850525,0.10193571448326111,-1.4002926349639893,-3.136321544647217,0.14374324679374695,0.0,0.03333333333333333,19.995765686035156,230.68,1199.0146437399999,2600,0.9372814297676086,0.016019240021705627,-0.00629675667732954,0.0717427134513855,0.03333333333333333,129,1064960,407.25910160900094,1064960,2.220726490020752,0.5241671800613403,1.5253831148147583,3.3506064414978027,2.1530561447143555,-1.4484968185424805,2.2746880054473877
