action_max,action_min,adv_avg,adv_max,adv_med,adv_min,adv_var,clipfrac,entropy,eplenmean,eprewmean,fps,grad_norm,kl,loss_pi,loss_v,lr_pi,lr_v,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps,ratio_max,ratio_min,ret_avg,ret_max,ret_med,ret_min,ret_var
4.167988300323486,-4.42832612991333,-1.3992480039596558,0.5711172819137573,-1.413383960723877,-3.029345989227295,0.15145911276340485,0.0,23.657339096069336,65.84,335.71368016,2948,1.3716436624526978,0.004093944560736418,4.180636882781982,0.09460043907165527,0.03333333333333333,0.001,9,81920,26.602170234022196,81920,1.4258209466934204,0.70675128698349,0.7122006416320801,2.927400827407837,0.8366289734840393,-1.4614394903182983,1.4074389934539795
4.626880168914795,-4.312280178070068,-1.5142221450805664,-0.15926885604858398,-1.5183340311050415,-2.8729870319366455,0.08526786416769028,0.0,23.09783935546875,82.92,414.6535687999999,2881,1.325798511505127,0.007867888547480106,0.8363237380981445,0.046011701226234436,0.05,0.001,19,163840,54.902482915029395,163840,1.6582835912704468,0.4586890935897827,0.5096272826194763,2.7337241172790527,0.5057481527328491,-1.4813933372497559,1.3155008554458618
4.579597473144531,-4.622478008270264,-1.5309805870056152,-0.17687112092971802,-1.5391970872879028,-2.667447328567505,0.07665253430604935,0.0,22.61001205444336,93.13,472.0676476800001,2861,1.2846848964691162,0.008291898295283318,0.33810681104660034,0.03246556222438812,0.05,0.001,29,245760,83.55511125701014,245760,1.6198633909225464,0.3933926224708557,0.5184417366981506,2.739744186401367,0.5778482556343079,-1.5144805908203125,1.3398545980453491
4.390727519989014,-4.518067359924316,-1.5709648132324219,-0.6019766330718994,-1.5672049522399902,-2.641962766647339,0.048630453646183014,0.0,21.996036529541016,98.66,499.8031932,2859,1.2094132900238037,0.01272242609411478,0.9739869832992554,0.028205793350934982,0.05,0.001,39,327680,112.21050640102476,327680,2.1774871349334717,0.4291907548904419,0.4440059959888458,2.700605630874634,0.44196829199790955,-1.5334495306015015,1.328291416168213
4.449504375457764,-4.593472480773926,-1.5821967124938965,-0.560685396194458,-1.5767431259155273,-2.6591293811798096,0.04237082600593567,0.0,21.835968017578125,100.21,512.3761617399999,2801,1.1538434028625488,0.007872817106544971,1.2550252676010132,0.021962424740195274,0.03333333333333333,0.001,49,409600,141.37102447403595,409600,1.517685890197754,0.5856603980064392,0.367819607257843,2.57039213180542,0.31210100650787354,-1.5449599027633667,1.2632867097854614
4.130314826965332,-4.872223377227783,-1.5770862102508545,-0.5802776217460632,-1.583641767501831,-2.4888877868652344,0.04030121862888336,0.0,21.424795150756836,107.65,544.95425489,2794,1.0945333242416382,0.008449018932878971,1.5256552696228027,0.020910289138555527,0.03333333333333333,0.001,59,491520,170.64798865304329,491520,2.1527633666992188,0.5848165154457092,0.393961101770401,2.5242397785186768,0.4047846794128418,-1.557582139968872,1.225181221961975
4.056890487670898,-4.0806427001953125,-1.5996721982955933,-0.6906032562255859,-1.5989372730255127,-2.6982614994049072,0.04378283768892288,0.0,21.155372619628906,111.75,566.28519902,2593,1.0813970565795898,0.008114655502140522,0.8892761468887329,0.02567237988114357,0.03333333333333333,0.001,69,573440,201.62931846099673,573440,1.748819351196289,0.4762784540653229,0.42799198627471924,2.5559041500091553,0.4316938519477844,-1.5671383142471313,1.3244863748550415
4.626999855041504,-4.580848693847656,-1.584188461303711,-0.5349826216697693,-1.6005967855453491,-2.8295323848724365,0.061152007430791855,0.0,20.814577102661133,116.74,596.84514437,2582,1.0844701528549194,0.009896477684378624,0.667738676071167,0.028998369351029396,0.03333333333333333,0.001,79,655360,234.6994423760334,655360,1.6597201824188232,0.5627602934837341,0.5058274269104004,2.5981481075286865,0.5143376588821411,-1.573532223701477,1.3768866062164307
4.541065216064453,-5.318790435791016,-1.5813686847686768,-0.5198209881782532,-1.5860888957977295,-2.533454418182373,0.041068658232688904,0.0,20.51864242553711,113.44,575.03310325,2581,1.0683096647262573,0.01216777041554451,1.4759470224380493,0.0200660340487957,0.03333333333333333,0.001,89,737280,267.06671743199695,737280,1.8873249292373657,0.4586147367954254,0.27113455533981323,2.2715423107147217,0.2853100895881653,-1.5775974988937378,1.1331466436386108
4.359060764312744,-4.5168633460998535,-1.5861989259719849,-0.5416779518127441,-1.6012269258499146,-2.589409589767456,0.03658327832818031,0.0,20.251575469970703,117.73,602.47304278,2411,1.0166113376617432,0.01386206690222025,0.20253586769104004,0.018679361790418625,0.03333333333333333,0.001,99,819200,300.8182365600369,819200,1.975531816482544,0.2932252287864685,0.321122944355011,2.412886619567871,0.3650737404823303,-1.5861880779266357,1.1537508964538574
4.818419456481934,-4.601964950561523,-1.589374303817749,-0.3292105793952942,-1.611794352531433,-2.6888818740844727,0.06279794126749039,0.0,19.968660354614258,120.18,620.42865202,2606,0.9615728259086609,0.01513562723994255,1.0447790622711182,0.02435467205941677,0.03333333333333333,0.001,109,901120,334.6351376930252,901120,2.1367640495300293,0.37289664149284363,0.4637486934661865,2.523822546005249,0.5698433518409729,-1.5913337469100952,1.2806123495101929
3.9143238067626953,-4.370469093322754,-1.5997810363769531,-0.23489822447299957,-1.5976301431655884,-2.8359227180480957,0.06417528539896011,0.0,19.590824127197266,123.04,635.55234664,2603,0.9198922514915466,0.015646297484636307,0.626230001449585,0.029978914186358452,0.03333333333333333,0.001,119,983040,366.63355232501635,983040,1.5808790922164917,0.4772641956806183,0.4141849875450134,2.4773147106170654,0.4513165056705475,-1.5907204151153564,1.3731825351715088
4.498547554016113,-4.232477188110352,-1.5773723125457764,-0.6168221831321716,-1.5909581184387207,-2.5797057151794434,0.056290242820978165,0.0,19.468578338623047,130.22,682.2204773199999,2364,0.8979938626289368,0.009643441997468472,0.7424355745315552,0.028055008500814438,0.022222222222222223,0.001,129,1064960,399.90665210201405,1064960,1.7224979400634766,0.5657197833061218,0.5148764848709106,2.5096516609191895,0.5856813788414001,-1.5888608694076538,1.4203917980194092
4.317657947540283,-4.147675037384033,-1.5865986347198486,-0.19083648920059204,-1.5979830026626587,-2.607661008834839,0.06509565562009811,0.0,19.321950912475586,133.2,698.98206593,2600,0.902652382850647,0.0090170968323946,-0.08786199986934662,0.031773343682289124,0.022222222222222223,0.001,139,1146880,431.8001164760208,1146880,1.7770506143569946,0.545735239982605,0.5074713230133057,2.488676071166992,0.5847945809364319,-1.5834009647369385,1.3431833982467651
4.396226406097412,-4.094283103942871,-1.6247360706329346,-0.6521419882774353,-1.604446291923523,-2.993619441986084,0.06874284148216248,0.0,19.072509765625,138.71,727.3149310900002,2632,0.8740864396095276,0.011630026623606682,1.29193115234375,0.03009911999106407,0.022222222222222223,0.001,149,1228800,463.3328908220283,1228800,1.7271366119384766,0.44517239928245544,0.4833080768585205,2.680406093597412,0.4215414524078369,-1.5811941623687744,1.6106460094451904
4.122972011566162,-4.0871100425720215,-1.5674618482589722,-0.4204755425453186,-1.5797817707061768,-2.699927568435669,0.06582119315862656,0.0,18.84566307067871,151.23,805.5097677200001,2494,0.8587706685066223,0.011542893014848232,-0.07785554230213165,0.030619991943240166,0.022222222222222223,0.001,159,1310720,496.95692671701545,1310720,1.6447919607162476,0.444573312997818,0.5985462665557861,2.631317377090454,0.7036430239677429,-1.574735164642334,1.5148440599441528
4.253665924072266,-4.031113624572754,-1.5766663551330566,-0.2604273855686188,-1.573373556137085,-2.826629877090454,0.0751197338104248,0.0,18.601673126220703,167.38,906.30078725,2624,0.8017070889472961,0.011564546264708042,0.028249777853488922,0.03166685253381729,0.022222222222222223,0.001,169,1392640,528.6422779470449,1392640,1.718327283859253,0.5810285210609436,0.8053146600723267,3.045147180557251,0.947945773601532,-1.5654512643814087,1.7500454187393188
4.41581392288208,-4.39412260055542,-1.5700989961624146,-0.21775230765342712,-1.5628052949905396,-3.211310625076294,0.07484278827905655,0.0,18.402862548828125,168.65,905.20733721,2577,0.8046123385429382,0.013429149985313416,-0.7909978628158569,0.0333685576915741,0.022222222222222223,0.001,179,1474560,560.2724259270472,1474560,1.8585643768310547,0.4798290729522705,0.7925083637237549,3.1038286685943604,0.9581308364868164,-1.5899133682250977,1.7644810676574707
4.877035140991211,-4.529170989990234,-1.5244547128677368,-0.15634876489639282,-1.5176876783370972,-2.748605966567993,0.10734052211046219,0.0,18.084125518798828,198.45,1071.97704937,2569,0.7688436508178711,0.011346705257892609,-0.1144934594631195,0.04252440109848976,0.022222222222222223,0.001,189,1556480,592.1613712350372,1556480,1.973750352859497,0.4922076165676117,1.1721274852752686,3.439469337463379,1.4723674058914185,-1.5216342210769653,2.138653516769409
5.238612651824951,-4.052903652191162,-1.4679009914398193,0.27455827593803406,-1.4648582935333252,-3.1322453022003174,0.1362750083208084,0.0,17.945003509521484,229.9,1248.22882506,2566,0.7557900547981262,0.007316090166568756,0.43029940128326416,0.05619417503476143,0.014814814814814815,0.001,199,1638400,623.8237967379973,1638400,1.6098161935806274,0.5620898008346558,1.3906636238098145,3.4066951274871826,1.8723912239074707,-1.5619006156921387,2.2272868156433105
4.78802490234375,-4.114241600036621,-1.4314048290252686,0.1334749162197113,-1.4018993377685547,-3.95501971244812,0.17794407904148102,0.0,17.80696678161621,278.45,1510.5405117900002,2594,0.7518870830535889,0.005160188768059015,0.4230244755744934,0.0626719743013382,0.014814814814814815,0.001,209,1720320,655.7891790129943,1720320,1.3744717836380005,0.5493518114089966,1.8125054836273193,3.7955052852630615,2.478724718093872,-1.4830377101898193,2.705409288406372
5.125694274902344,-3.982914924621582,-1.3007118701934814,0.9311041235923767,-1.291701078414917,-3.1389150619506836,0.1771858036518097,0.0,17.696014404296875,328.19,1766.6138531000004,2329,0.7476745843887329,0.007505446672439575,0.34344282746315,0.061453744769096375,0.014814814814814815,0.001,219,1802240,689.1157863140106,1802240,1.621981143951416,0.43002820014953613,2.001950263977051,3.7728376388549805,2.5703396797180176,-1.3428239822387695,2.2426564693450928
4.90316915512085,-4.158501625061035,-1.2248787879943848,0.45950496196746826,-1.1874483823776245,-3.5449442863464355,0.20260421931743622,0.0,17.483734130859375,361.2,1958.5888966400003,2421,0.7724174857139587,0.0074608586728572845,0.45423293113708496,0.07956677675247192,0.014814814814814815,0.001,229,1884160,724.3854393300135,1884160,1.801025152206421,0.5445457100868225,2.354279041290283,3.8107852935791016,2.975445032119751,-1.2737842798233032,2.0814003944396973
